filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29073687_62783942.xml,b'void\n',b'vector<T> &a\n',"['read', 'write', 'main']","b'typedef pair&lt;int,int> pii;'",[],"[' vector T & a', ' vector T & a']",[],"[' a . clear ()', ' a . pb x', ' ios_base :: sync_with_stdio 0']"
29069464_62787349.xml,b'int\n',b'\n',"['read', 'main']",b'',[],[],[],"[' getchar ()', ' getchar ()', ' getchar ()', ' read ()', ' read ()', ' read ()', ' read ()', ' min b c / 2', ' min a b / 2', ' min a b / 2', ' min b c / 2', ' max ans temp']"
29056361_62798292.xml,b'int\n',b'\n',['main'],b'',[],[],[' vector long long res DIM'],"[' push_back ( i - 1 ) * n + j', ' push_back ( i - 1 ) * n + j']"
29089802_62788099.xml,b'bool\n',b'T &a\n',"['chmax', 'chmin', 'modpow', 'main']","b'typedef pair&lt;int, int> pii;typedef vector&lt;int> vi;typedef vector&lt;vi> vvi;'",[],"[' T & a', ' T & a']",[],"[' modpow a * a % mod b / 2', ' modpow 2 m', ' modpow tmp n']"
29078948_62790198.xml,b'll\n',b'll x\n',"['mod_pow', 'main']",b'',[],[],[],"[' mod_pow 2 m', ' mod_pow ans n']"
29065317_62798584.xml,b'int\n',b'\n',['main'],b'',[],[],[' int a 400 400'],[]
29089237_62794350.xml,b'void\n',b'vector<T> & v\n',"['init', 'info', 'chkmin', 'chkmax', 'boot_up', 'main', 'solve']",b'',[],"[' vector T & v', ' T & v', ' const auto & el v', ' T & a', ' T & a']",[' int chto 401 401'],"[' int 2e5', ' int 1e9', ' int 1e9', ' ll 1e18', ' v . assign _size value', ' freopen ""input.in"" ""r"" stdin', ' freopen ""output.out"" ""w"" stdout', ' cin . tie nullptr', ' cout . tie nullptr', ' ios_base :: sync_with_stdio false', ' boot_up ()', ' solve ()']"
29077735_62787859.xml,b'll\n',b'll x\n',"['st', 'main']","b'typedef long long ll;typedef pair &lt;int, int> pii;typedef pair &lt;ll, ll> pll;typedef vector &lt;int> vi;typedef vector&lt;ll> vll;typedef long double ld;'",[],[],[],"[' ios :: sync_with_stdio 0', ' cin . tie 0', ' cout . tie 0', ' st ( st 2 m - 1 + mod ) n', ' st 2 m']"
29089229_62797214.xml,b'void\n',b'string str\n',"['dbs', 'dbs', 'operator ', 'operator ', 'operator ', 'operator ', 'prc', 'main']",b'',[],"[' ostream & os', ' const pair S T & p', ' ostream & os', ' const vector T & p', ' ostream & os', ' const set T & p', ' ostream & os', ' const map S T & p']",[' vector int a n'],"["" str . find ','"", ' str . substr 0 idx', ' dbs str . substr idx + 1 s ...', ' str . substr idx + 1', ' pb count', ' pb count']"
29061198_62788415.xml,b'll\n',b'll b\n',"['power', 'main']","b'typedef long long ll;typedef vector&lt;int> vi;typedef pair&lt;int,int> pii;'",[],[],[],"[' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' power 2 m', ' power ans n']"
