ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29784064	blue	94	Индия	64373927	8	31	GNU C++17	64377904	260	31	GNU C++17	64384015	148	31	GNU C++17	64405383	244	46	GNU C++17	64399525	12988	171	GNU C++17	-	-	-	-
29784185	blue	95	-	64373761	244	30	GNU C++17	64377040	64	31	GNU C++17	64399618	404	46	GNU C++17	64393052	1404	186	PyPy 3	64405745	13024	171	GNU C++17	-	-	-	-
29750398	blue	96	Iran	64376327	24	31	GNU C++14	64381385	300	61	GNU C++14	64392135	8	46	GNU C++14	64399834	8	46	GNU C++14	64405179	14028	171	GNU C++14	-	-	-	-
29773986	blue	97	-	64373957	168	31	GNU C++14	64376561	432	31	GNU C++14	64398080	156	31	GNU C++14	64392025	40	31	GNU C++14	64411481	21408	343	GNU C++14	-	-	-	-
29781877	blue	98	Armenia	64375116	160	46	GNU C++14	64381784	60	62	GNU C++14	64388777	152	186	GNU C++14	64393060	268	46	GNU C++14	64409205	11936	390	GNU C++14	-	-	-	-
29752513	blue	99	Индия	64373709	4	62	GNU C++17	64401304	56	62	GNU C++17	64401630	388	171	GNU C++17	64390980	244	46	GNU C++17	64396164	5488	280	GNU C++17	-	-	-	-
29775460	blue	100	Индия	64374194	20	46	GNU C++17	64379725	324	30	GNU C++17	64403310	184	31	GNU C++17	64386159	16	31	GNU C++17	64410882	14724	202	GNU C++17	-	-	-	-
29761022	blue	101	Индия	64374515	8	46	GNU C++14	64378265	440	46	GNU C++14	64385552	192	62	GNU C++14	64388767	8	31	GNU C++14	64411748	31584	811	GNU C++14	-	-	-	-
29783933	blue	102	Estonia	64374107	4	30	GNU C++17	64398594	260	31	GNU C++17	64396468	152	46	GNU C++17	64389292	248	62	GNU C++17	64408484	9364	108	GNU C++17	-	-	-	-
29747603	blue	103	-	64375173	0	31	GNU C++11	64378668	412	15	GNU C++11	NO	-	-	-	64384361	616	31	GNU C++11	64392736	33384	62	GNU C++11	NO	-	-	-
