SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29180131_62981919	2	China	blue	GNU C++14	46	400
29180131_62992876	3	China	blue	GNU C++14	15	796
29180131_63001013	4	China	blue	GNU C++14	296	12
29169310_62978944	1	China	blue	GNU C++11	31	0
29169310_62982523	2	China	blue	GNU C++11	31	400
29169310_62994486	3	China	blue	GNU C++11	31	400
29169310_62993334	4	China	blue	GNU C++11	171	8
29153487_62977526	1	Россия	blue	GNU C++17	62	0
29153487_62979487	2	Россия	blue	GNU C++17	46	1060
29153487_62990570	3	Россия	blue	GNU C++17	31	8680
29153487_62996638	4	Россия	blue	GNU C++17	187	107292
29178103_62986481	1	Japan	blue	GNU C++14	78	792
29178103_62982338	2	Japan	blue	GNU C++14	46	792
29178103_62990948	3	Japan	blue	GNU C++14	46	1572
29178103_63002502	4	Japan	blue	GNU C++14	187	8
29179315_62979304	1	Россия	blue	GNU C++17	78	796
29179315_62982045	2	Россия	blue	GNU C++17	62	796
29179315_62992218	3	Россия	blue	GNU C++17	31	3144
29179315_62998616	4	Россия	blue	GNU C++17	405	16
29180178_63002712	1	-	blue	GNU C++17	358	1572
29180178_63002779	2	-	blue	GNU C++17	139	400
29180178_63002863	3	-	blue	GNU C++17	31	1576
29180178_63003287	6	-	blue	GNU C++17	763	13568
29147692_62977845	1	Japan	blue	GNU C++14	374	8
29147692_62982831	2	Japan	blue	GNU C++14	124	560
29147692_62988775	3	Japan	blue	GNU C++14	31	776
29147692_62998659	4	Japan	blue	GNU C++14	733	8
29179459_62978326	1	Japan	blue	GNU C++17	374	1576
29179459_62981722	2	Japan	blue	GNU C++17	156	792
29179459_62988942	3	Japan	blue	GNU C++17	61	4048
29179459_63005509	4	Japan	blue	GNU C++17	93	28
29180028_62977494	1	-	blue	GNU C++11	61	1572
29180028_62980056	2	-	blue	GNU C++11	46	796
29180028_62986800	3	-	blue	GNU C++11	31	1576
29180028_63003420	4	-	blue	GNU C++11	280	1672
29177610_62979942	1	Japan	blue	GNU C++17	374	776
29177610_62982517	2	Japan	blue	GNU C++17	140	780
29177610_62990921	3	Japan	blue	GNU C++17	31	3908
29177610_62998837	4	Japan	blue	GNU C++17	140	4
29179723_62978918	1	-	blue	GNU C++17	78	0
29179723_62983437	2	-	blue	GNU C++17	62	376
29179723_62990360	3	-	blue	GNU C++17	77	376
29179723_62999528	4	-	blue	GNU C++17	139	0
29149911_62989063	1	Egypt	blue	GNU C++17	77	12
29149911_62990729	2	Egypt	blue	GNU C++17	46	792
29149911_62985903	3	Egypt	blue	GNU C++17	31	1656
29149911_63001217	4	Egypt	blue	GNU C++17	483	64336
29177627_62983318	1	China	green	GNU C++11	140	4
29177627_62985274	2	China	green	GNU C++11	78	792
29177627_62991549	3	China	green	GNU C++11	31	1572
29177627_63002484	4	China	green	GNU C++11	109	16
29175169_62977680	1	-	blue	GNU C++17	77	8
29175169_62980035	2	-	blue	GNU C++17	46	408
29175169_62991359	3	-	blue	GNU C++17	46	7224
29175169_63000534	4	-	blue	GNU C++17	343	8
29178953_62978331	1	China	blue	GNU C++17	109	1572
29178953_62981709	2	China	blue	GNU C++17	62	796
29178953_62997475	3	China	blue	GNU C++17	31	1576
29178953_62993599	4	China	blue	GNU C++17	327	20
29164478_62977557	1	Россия	blue	GNU C++17	78	8
